ATCA_name,RA_atca,errRA_atca,DEC_atca,errDEC_atca,f20,ef20,f93,B3est,Flags,Flags2,ALMAname,SOURCE_ID,distance_alma,distance_vlbi,distance_grid,CATALOGUE_ID,RA_alma,RA_UNCERTAINTY_alma,DEC_alma,DEC_UNCERTAINTY_alma,FREQUENCY,FLUX,FLUX_UNCERTAINTY,DATE_OBSERVED,VALID,IVS,name,RA_vlbi,DEC_vlbi,Grid_close,OTHER,OTHER2
J133204-050944,203.018835,0.00375,-5.16222,0.00028,684,33,NONE,171,g,nnn,,5969,1.0852584916,1.0790954243,28496.0545725165,3,203.0186,,-5.16203,,4850000000,0.471,,2006-12-19 00:00:00,1,1329-049,J1332-0509,203.0186028083,-5.1620292833,J1337-1257|J1337-129|J133739-125720|B1334-127,,
J153552-473021,233.96775,0.00375,-47.50606,0.00028,684,34,NONE,171,g,nnn,,13364,1.1780494875,1.1778530026,46286.6401150062,21,233.9676714,0.0000002,-47.5063829,0.0000001,20000000000,0.684,0.034,2006-01-01 00:00:00,1,1532-473,J1535-4730,233.9676716833,-47.5063828778,J1617-5848|J1613-586,,
J124553-161644,191.47383,0.00375,-16.279,0.00028,678,44,NONE,169.5,g,nnn,,5582,1.3467214081,1.3467214081,38838.3045558368,5,191.47392615,3.05555555555556E-008,-16.279362525,3.33333333333333E-008,91460000000,0.99,0.02,2013-12-30 00:00:00,1,1243-160,J1245-1616,191.47392615,-16.279362525,J1256-0547|J1256-057|J125610-054722|3C279|B1253-055,,
J120234-052759,180.64242,0.00375,-5.46658,0.00028,672,34,NONE,168,g,nnn,,5265,2.8811397447,2.8783923687,36083.109138412,3,180.6426,,-5.46736,,4850000000,0.462,,2006-12-19 00:00:00,1,1200-051,J1202-0528,180.6426036042,-5.4673583833,J1229+0203|J1229+020|3C273|B1226+023,,
J115217-084103,178.072455,0.00375,-8.68433,0.00028,666,33,NONE,166.5,g,nnn,,5188,2.6668483454,2.6784949761,50845.9215041575,3,178.07171,,-8.68425,,4850000000,0.738,,2006-12-19 00:00:00,1,1149-084,J1152-0841,178.0717062958,-8.6842538556,J1229+0203|J1229+020|3C273|B1226+023,,
J230303-184126,345.762585,0.00375,-18.69056,0.00028,664,33,NONE,166,g,nnn,J2303-1841|J230303-184121,9938,0.6599768143,0.6599768143,33663.9491383923,5,345.7623999792,4.72222222222222E-008,-18.690506225,8.33333333333333E-008,91460000000,0.37,0.03,2013-12-30 00:00:00,1,2300-189,J2303-1841,345.7623999792,-18.690506225,J2258-2758|J2258-279|J225805-275823|B2255-282,,
J200555-372339,301.479285,0.00375,-37.39436,0.00028,659,32,NONE,164.75,g,nnn,,8591,1.8524719648,1.8524745146,42553.3793732732,5,301.4794621375,4.16666666666667E-008,-37.3948549583,4.16666666666667E-008,106250000000,0.22,0.01,2012-03-27 00:00:00,1,2002-375,J2005-3723,301.4794621375,-37.3948549583,J1924-2914|J1924-292|J192451-291428|B1921-293,,
J235935-313344,359.897535,0.00375,-31.56247,0.00028,636,30,292,159,g,nnn,,10360,1.5062887812,1.5062887812,49697.6506315539,5,359.8978814458,3.33333333333333E-008,-31.5621734722,3.05555555555556E-008,106250000000,0.24,0.01,2012-05-30 00:00:00,1,2357-318,J2359-3133,359.8978814458,-31.5621734722,J2258-2758|J2258-279|J225805-275823|B2255-282,,
J231448-313838,348.70233,0.00375,-31.64403,0.00028,626,31,NONE,156.5,g,nnn,,10022,1.2638303979,1.2638303979,18569.9454832637,5,348.7020858167,3.61111111111111E-008,-31.6443129,3.33333333333333E-008,106250000000,0.17,0.01,2012-05-30 00:00:00,1,2312-319,J2314-3138,348.7020858167,-31.6443129,J2258-2758|J2258-279|J225805-275823|B2255-282,,
J151440-474828,228.667005,0.00375,-47.808,0.00028,625,31,NONE,156.25,g,nnn,,13358,1.2016656586,1.2015477299,36093.2637010583,21,228.6667691,0.0000001,-47.8082938,0.0000001,20000000000,0.625,0.031,2006-01-01 00:00:00,1,1511-476,J1514-4748,228.6667691,-47.8082937639,J1427-4206|J1427-421|J142755-420612|B1424-418,,
J132114-263610,200.30838,0.00375,-26.60278,0.00028,624,31,NONE,156,g,nnn,,12571,0.3863558855,0.573855711,51045.2558482391,3,200.3085,,-26.6027778,,4850000000,0.53,,2006-12-19 00:00:00,1,1318-263,J1321-2636,200.3084871542,-26.6029073972,J1337-1257|J1337-129|J133739-125720|B1334-127,,
J220256-233511,330.733785,0.00375,-23.58639,0.00028,611,40,NONE,152.75,g,nnn,J2202-2335|J220255-233506,9474,1.6777495995,1.6777467841,47376.3368258966,5,330.7333312542,4.72222222222222E-008,-23.5861795917,7.77777777777778E-008,106250000000,0.23,0.01,2012-03-24 00:00:00,1,2200-238,J2202-2335,330.7333312542,-23.5861795917,J2258-2758|J2258-279|J225805-275823|B2255-282,,
J182228-093856,275.62008,0.00375,-9.64914,0.00028,610,30,134,152.5,g,nnn,,7991,1.3487191325,1.3595811946,45324.4718141269,2,275.61972,0.0000721,-9.64902,0.0001081,333102731.111111,13,,2000-01-01 00:00:00,1,1819-096,J1822-0938,275.6197159458,-9.6490224583,J1733-1304|J1733-130|J173302-130445|B1730-130|nrao530,,
J200517-182203,301.32213,0.00375,-18.36758,0.00028,604,30,NONE,151,g,nnn,J2005-1822|J200517-182202,8587,0.2591125233,0.2591125233,51336.7213243714,5,301.3220548167,4.16666666666667E-008,-18.3675894889,7.22222222222222E-008,91460000000,0.39,0.03,2013-12-30 00:00:00,1,2002-185,J2005-1822,301.3220548167,-18.3675894889,J1924-2914|J1924-292|J192451-291428|B1921-293,,
J035110-115326,57.79509,0.00375,-11.89061,0.00028,596,30,NONE,149,g,nnn,,1866,4.2031476079,4.2031476079,47562.5817042848,5,57.7957371375,7.77777777777778E-008,-11.8896291111,1.83333333333333E-007,106250000000,0.18,0.01,2012-06-26 00:00:00,1,0348-120,J0351-1153,57.7957371375,-11.8896291111,J0423-0120|J0423-013|J042315-012034|B0420-014,,
J133608-082952,204.03459,0.00375,-8.49786,0.00028,591,29,NONE,147.75,g,nnn,,6004,0.7876417965,0.7962543312,16108.8853250585,3,204.03442,,-8.49772,,4850000000,0.529,,2006-12-19 00:00:00,1,1333-082,J1336-0829,204.0344159042,-8.4977211694,J1337-1257|J1337-129|J133739-125720|B1334-127,,
