Event Result UID Scan 
AmpliCalReducedEvent: SUCCESS uid://A002/X82e118/X34 1 
PhaseCalReducedEvent: SUCCESS uid://A002/X82e118/X34 1 
DelayReducedEvent: SUCCESS uid://A002/X82e118/X34 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82e118/X397 1 
PointingReducedEvent: SUCCESS uid://A002/X82e118/X397 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82e118/X3dd 1 
PointingReducedEvent: SUCCESS uid://A002/X82e118/X3dd 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82e118/X426 1 
PointingReducedEvent: SUCCESS uid://A002/X82e118/X426 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82e118/X485 1 
PointingReducedEvent: SUCCESS uid://A002/X82e118/X485 1 
DelayReducedEvent: SUCCESS uid://A002/X82e118/X485 1 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X485 2 
PointingReducedEvent: SUCCESS uid://A002/X82e118/X485 2 
DelayReducedEvent: SUCCESS uid://A002/X82e118/X485 2 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X485 3 
FocusReducedEvent: SUCCESS uid://A002/X82e118/X485 3 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82e118/X51c 1 
PointingReducedEvent: SUCCESS uid://A002/X82e118/X51c 1 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X51c 2 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X51c 3 
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/X51c 3 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X51c 4 
DelayReducedEvent: SUCCESS uid://A002/X82e118/X51c 4 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X51c 5 
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/X51c 5 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X51c 7 "Missing CAL_WVR, scan 6"
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/X51c 7 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X51c 8 
  0  
AmpliCalReducedEvent: SUCCESS uid://A002/X82e118/X5d 1 
PhaseCalReducedEvent: SUCCESS uid://A002/X82e118/X5d 1 
DelayReducedEvent: SUCCESS uid://A002/X82e118/X5d 1 
  0  
AmpliCalReducedEvent: SUCCESS uid://A002/X82e118/X6e 1 
PhaseCalReducedEvent: SUCCESS uid://A002/X82e118/X6e 1 
DelayReducedEvent: SUCCESS uid://A002/X82e118/X6e 1 
  0  
AmpliCalReducedEvent: SUCCESS uid://A002/X82e118/X81 1 
PhaseCalReducedEvent: SUCCESS uid://A002/X82e118/X81 1 
DelayReducedEvent: SUCCESS uid://A002/X82e118/X81 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 1 
PointingReducedEvent: SUCCESS uid://A002/X82e118/X815 1 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 2 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 3 
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/X815 3 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 4 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 5 
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/X815 5 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 6 
PhaseCalReducedEvent: SUCCESS uid://A002/X82e118/X815 6 
BandPassReducedEvent: SUCCESS uid://A002/X82e118/X815 6 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 7 
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/X815 7 
