vla_name p_err ra dec est_flux 
1106+282 0.005 11:06:07.2596 28:12:47.041 0.18 
1824+013 0.005 18:24:48.1427 01:19:34.171 0.18 
1931+227 0.001 19:31:24.916790 22:43:31.258870 0.18 
0016-002 0.001 00:16:11.088554 -00:15:12.445280 0.17
0119+321 0.05 01:19:35.000447 32:10:50.054290 0.17 
0225+187 0.005 02:25:04.6697 18:46:48.773 0.17 
0252+173 0.005 02:52:07.7188 17:18:42.687 0.17 
0304+338 0.005 03:04:41.3609 33:48:43.487 0.17 
0406+066 0.005 04:06:34.307293 06:37:14.990570 0.17 
0431+175 0.001 04:31:57.379243 17:31:35.775410 0.17 
0547+273 0.001 05:47:34.148941 27:21:56.842400 0.17 
0823+294 0.005 08:23:41.1300 29:28:28.176 0.17 
0948+003 0.005 09:48:57.3209 00:22:25.563 0.17 
1059+209 0.005 10:59:39.0424 20:57:21.995 0.17 
1122+180 0.001 11:22:29.711471 18:05:26.343400 0.17 
1246-075 0.001 12:46:04.232113 -07:30:46.574500 0.17 
1342+271 0.005 13:42:08.3772 27:09:30.625 0.17 
1430+107 0.001 14:30:09.738791 10:43:26.861970 0.17 
1642+253 0.005 16:42:40.4148 25:23:07.712 0.17 
1651+014 0.001 16:51:03.662382 01:29:23.458780 0.17 
1719+069 0.005 17:19:10.9335 06:58:15.745 0.17 
1728+122 0.001 17:28:07.051218 12:15:39.486000 0.17 
1804+010 0.001 18:04:15.984606 01:01:32.407340 0.17 
1938+048 0.005 19:38:30.6690 04:48:11.621 0.17 
2106+215 0.005 21:06:10.8203 21:35:36.055 0.17 
2108+145 0.005 21:08:41.0339 14:30:27.038 0.17 
2114+285 0.005 21:14:58.3340 28:32:57.206 0.17 
2257+077 0.001 22:57:17.303120 07:43:12.302840 0.17 
2327+154 0.005 23:27:21.9669 15:24:37.333 0.17 
0009+064 0.005 00:09:03.9327 06:28:21.238 0.16 
0207+318 0.005 02:07:34.9903 31:52:06.458 0.16 
0259+077 0.001 02:59:27.076633 07:47:39.643230 0.16 
1321+222 0.005 13:21:11.2014 22:16:12.092 0.16 
1522+317 0.005 15:22:09.9937 31:44:14.418 0.16 
1756+155 0.005 17:56:53.1049 15:35:20.826 0.16 
1849+304 0.005 18:49:20.1065 30:24:14.189 0.16 
0022+061 0.005 00:22:32.441226 06:08:04.268930 0.15 
0112+353 0.001 01:12:12.944448 35:22:19.336650 0.15 
0119+084 0.005 01:19:01.2740 08:29:54.680 0.15 
0151+277 0.001 01:51:27.146149 27:44:41.793650 0.15 
0321+123 0.001 03:21:53.103505 12:21:13.954030 0.15 
0324+341 0.005 03:24:41.1606 34:10:45.805 0.15 
0345+148 0.001 03:45:06.416546 14:53:49.558180 0.15 
0419+399 0.001 04:19:22.549539 39:55:28.977640 0.15 
0431+206 0.005 04:31:03.7620 20:37:34.250 0.15 
0440+146 0.005 04:40:21.1404 14:37:56.952 0.15 
0457+067 0.001 04:57:07.709927 06:45:07.260640 0.15 
0503+020 0.001 05:03:21.197177 02:03:04.676380 0.15 
0512+152 0.001 05:12:41.012900 15:17:23.479270 0.15 
0613+131 0.001 06:13:57.692766 13:06:45.401160 0.15 
0625+146 0.05 06:25:45.9187 14:40:19.550 0.15 
0721+041 0.001 07:21:23.909988 04:06:44.213910 0.15 
0916+389 0.001 09:16:48.904549 38:54:28.146610 0.15 
0925+003 0.001 09:25:07.815028 00:19:13.933410 0.15 
1008+063 0.001 10:08:00.816171 06:21:21.215060 0.15 
1016+206 0.001 10:16:44.322063 20:37:47.305260 0.15 
1023+398 0.001 10:23:11.565623 39:48:15.385390 0.15 
1124+236 0.005 11:24:02.7072 23:36:45.880 0.15 
1147+265 0.005 11:47:59.7656 26:35:42.334 0.15 
1215+348 0.001 12:15:55.601049 34:48:15.220530 0.15 
1220+020 0.005 12:20:11.8851 02:03:42.221 0.15 
1242+378 0.001 12:42:51.369098 37:51:00.025130 0.15 
1317+344 0.001 13:17:36.494189 34:25:15.932660 0.15 
1350+305 0.001 13:50:52.736206 30:34:53.590510 0.15 
1405+042 0.001 14:05:01.119812 04:15:35.818950 0.15 
1407+284 0.001 14:07:00.394410 28:27:14.689980 0.15 
1410+020 0.005 14:10:04.6563 02:03:06.883 0.15 
1419+271 0.001 14:19:59.297063 27:06:25.552690 0.15 
1426+364 0.001 14:26:37.087495 36:25:09.573930 0.15 
1434+198 0.001 14:34:39.793356 19:52:00.735830 0.15 
1553+129 0.001 15:53:32.697866 12:56:51.716570 0.15 
1719+082 0.001 17:19:52.206219 08:17:03.553930 0.15 
1822+160 0.001 18:22:09.968988 16:00:14.843810 0.15 
1832+285 0.001 18:32:50.185631 28:33:35.955300 0.15 
1907+014 0.005 19:07:11.9969 01:27:08.974 0.15 
1924+334 0.05 19:24:17.4839 33:29:29.724 0.15 
1952+254 0.05 19:52:48.2759 25:26:53.398 0.15 
2003+305 0.005 20:03:30.2447 30:34:30.785 0.15 
2007+066 0.005 20:07:11.9152 06:36:44.596 0.15 
2025+032 0.001 20:25:09.632168 03:16:44.505300 0.15 
2031+123 0.001 20:31:54.994279 12:19:41.340430 0.15 
2033+217 0.005 20:33:32.0284 21:46:22.363 0.15 
2145+112 0.005 21:45:18.7756 11:15:27.297 0.15 
2245+034 0.001 22:45:28.284772 03:24:08.864310 0.15 
2254+247 0.001 22:54:09.341903 24:45:23.422800 0.15 
2307+325 0.001 23:07:15.912560 32:30:31.936840 0.15 
2322+082 0.001 23:22:36.089472 08:12:01.592800 0.15 
2349+387 0.001 23:49:20.826537 38:49:17.558430 0.15 
0338+227 0.005 03:38:17.8136 22:43:36.037 0.14 
0511+139 0.001 05:11:38.319662 13:57:19.193380 0.14 
0643+089 0.005 06:43:26.4517 08:57:37.999 0.14 
0645+213 0.001 06:45:24.099508 21:21:51.201600 0.14 
0746+275 0.005 07:46:40.4323 27:34:59.052 0.14 
0751+332 0.001 07:51:53.673238 33:13:19.817840 0.14 
0842+185 0.001 08:42:05.094180 18:35:40.990610 0.14 
1147-074 0.001 11:47:51.554036 -07:24:41.141090 0.14 
1238+073 0.005 12:38:02.4464 07:23:21.833 0.14 
1255+182 0.005 12:55:31.7614 18:17:50.924 0.14 
1308+357 0.005 13:08:23.6987 35:46:37.246 0.14 
1341+282 0.005 13:41:15.2847 28:16:05.111 0.14 
1430+368 0.005 14:30:40.5835 36:49:03.895 0.14 
1450+091 0.001 14:50:31.168946 09:10:27.955220 0.14 
1623+076 0.005 16:23:58.2523 07:41:30.541 0.14 
1735+362 0.001 17:35:48.086675 36:16:45.611390 0.14 
1740+221 0.005 17:40:05.8618 22:11:00.951 0.14 
1751+293 0.005 17:51:42.6841 29:20:50.206 0.14 
1922+155 0.005 19:22:34.699188 15:30:10.032130 0.14 
1935+205 0.001 19:35:10.472879 20:31:54.154300 0.14 
1953+356 0.001 19:53:30.875716 35:37:59.358390 0.14 
2002+150 0.005 20:02:41.9996 15:01:14.603 0.14 
2052+365 0.001 20:52:52.054995 36:35:35.300210 0.14 
2130+050 0.005 21:30:32.877499 05:02:17.474690 0.14 
2155+228 0.005 21:55:06.4583 22:50:22.251 0.14 
2216+353 0.001 22:16:20.009910 35:18:14.180560 0.14 
2250+143 0.2 22:50:25.5400 14:19:50.600 0.14 
2255-087 0.001 22:55:04.239787 -08:44:04.021710 0.14 
2332+086 0.001 23:32:57.596284 08:38:10.427150 0.14 
2358+393 0.001 23:58:59.855195 39:22:28.305690 0.14 
2359+388 0.001 23:59:33.180792 38:50:42.318440 0.14 
0215-023 0.001 02:15:42.017245 -02:22:56.751750 0.13 
0550+234 0.05 05:50:47.3789 23:26:48.178 0.13 
0719+331 0.005 07:19:19.4209 33:07:09.711 0.13 
0802+181 0.001 08:02:48.031945 18:09:49.249660 0.13 
0908+161 0.005 09:08:55.9258 16:09:54.752 0.13 
1524+153 0.001 15:24:41.611434 15:21:21.051840 0.13 
1653+311 0.005 16:53:29.9097 31:07:56.910 0.13 
1803+095 0.005 18:03:33.6521 09:34:25.910 0.13 
2300+169 0.005 23:00:42.9941 16:55:14.401 0.13 
